Type,X,Y,Timestamp
start,723.4285888671875,395.1429138183594,1732861587344
move,724.571533203125,396.8572082519531,1732861587418
move,724.571533203125,400.2857666015625,1732861587441
move,724.571533203125,406.00006103515625,1732861587458
move,722.857177734375,412.8572082519531,1732861587474
move,718.2858276367188,421.4285888671875,1732861587490
move,713.7142944335938,430.0000305175781,1732861587507
move,708.571533203125,439.71429443359375,1732861587524
move,700.571533203125,452.2857971191406,1732861587540
move,690.857177734375,465.4285888671875,1732861587557
move,678.857177734375,479.71429443359375,1732861587574
move,666.857177734375,493.4285888671875,1732861587590
move,653.1428833007812,507.1429138183594,1732861587607
move,638.2858276367188,520.2858276367188,1732861587624
move,621.7142944335938,534.5714721679688,1732861587640
move,602.2858276367188,550,1732861587657
move,580,565.4285888671875,1732861587674
move,558.857177734375,578,1732861587690
move,538.2858276367188,589.4285888671875,1732861587707
move,518.2858276367188,598.571533203125,1732861587724
move,498.2857666015625,607.7142944335938,1732861587740
move,477.1429138183594,616.857177734375,1732861587757
move,454.2857666015625,627.1428833007812,1732861587774
move,432.00006103515625,638.0001220703125,1732861587790
move,410.2857666015625,647.1428833007812,1732861587807
move,389.1429138183594,655.1428833007812,1732861587824
move,368.00006103515625,663.1428833007812,1732861587840
move,348.00006103515625,670.571533203125,1732861587857
move,328,677.4285888671875,1732861587874
move,305.71429443359375,684.857177734375,1732861587890
move,282.8571472167969,692.2858276367188,1732861587907
move,261.1429138183594,698.571533203125,1732861587924
move,240.5714569091797,704.2858276367188,1732861587940
move,222.2857208251953,708.857177734375,1732861587957
move,206.2857208251953,712.2858276367188,1732861587974
move,192.5714569091797,715.1428833007812,1732861587990
move,177.71429443359375,718.571533203125,1732861588007
move,162.85714721679688,722.571533203125,1732861588024
move,149.71429443359375,726.0001220703125,1732861588040
move,138.28573608398438,728.857177734375,1732861588057
move,127.42857360839844,731.1428833007812,1732861588074
move,117.71430206298828,732.857177734375,1732861588091
move,109.14286041259766,735.1428833007812,1732861588107
move,98.85714721679688,738.571533203125,1732861588124
move,90.85714721679688,742.0001220703125,1732861588140
move,82.28572845458984,746.0001220703125,1732861588157
move,75.42857360839844,748.857177734375,1732861588174
move,70.28572845458984,751.7142944335938,1732861588191
move,64.5714340209961,754.571533203125,1732861588207
move,60.000003814697266,756.2858276367188,1732861588224
move,57.14286422729492,758.0001220703125,1732861588241
move,54.85715103149414,759.1428833007812,1732861588257
move,53.71428680419922,759.7142944335938,1732861588274
move,52.57143020629883,760.2858276367188,1732861588291
move,52.00000762939453,760.2858276367188,1732861588307
move,51.42857360839844,760.2858276367188,1732861588324
move,50.85715103149414,760.857177734375,1732861588340
move,50.28572082519531,760.857177734375,1732861588374
move,49.71428680419922,760.857177734375,1732861588409
end,49.71428680419922,760.857177734375,1732861588472

End_Center_X,End_Center_Y,Target_Center_X,Target_Center_Y,Initial_X,Initial_Y,Total_Time
49.71428680419922,760.857177734375,44.107144355773926,766.2053842544556,727.7142953872681,398.57144260406494,1128
