subject,target_location,delay,trial,End_Center_X,End_Center_Y,Target_Center_X,Target_Center_Y,Initial_X,Initial_Y,Total_Time
sub1,cornerBottomLeft,0,0,25.142860412597656,905.1428833007812,36.839287757873535,882.1250619888306,731.7142953872681,457.71429538726807,1045
sub1,midTopRight,50,1,1073.1429443359375,255.42860412597656,1067.9375009536743,253.00894260406497,731.7142953872681,457.71429538726807,782
sub1,midTopLeft,250,2,422.2857666015625,256.57147216796875,395.4910898208618,253.00894260406497,731.7142953872681,457.71429538726807,882
sub1,midBottomLeft,100,3,392.00006103515625,662.857177734375,395.4910898208618,662.4196786880493,731.7142953872681,457.71429538726807,680
sub1,midTopRight,200,4,1080.0,248.00003051757812,1067.9375009536743,253.00894260406497,731.7142953872681,457.71429538726807,957
sub1,midTopLeft,150,5,402.8571472167969,256.57147216796875,395.4910898208618,253.00894260406497,731.7142953872681,457.71429538726807,804
sub1,cornerBottomRight,0,6,1405.71435546875,886.2858276367188,1419.1607675552368,882.1250619888306,731.7142953872681,457.71429538726807,1003
sub1,cornerTopRight,50,7,1416.5716552734375,34.28571701049805,1419.1607675552368,33.30357265472412,731.7142953872681,457.71429538726807,882
sub1,cornerTopRight,250,8,1421.71435546875,31.42857551574707,1419.1607675552368,33.30357265472412,731.7142953872681,457.71429538726807,1623
sub1,midTopLeft,100,9,370.2857666015625,249.71429443359375,395.4910898208618,253.00894260406497,731.7142953872681,457.71429538726807,861
sub1,cornerTopLeft,200,10,33.71428680419922,32.571434020996094,44.26785945892334,33.30357265472412,731.7142953872681,457.71429538726807,1571
sub1,cornerBottomRight,150,11,1424.000244140625,894.2858276367188,1419.1607675552368,882.1250619888306,731.7142953872681,457.71429538726807,1304
sub1,midBottomLeft,0,12,400.5714416503906,657.7142944335938,395.4910898208618,662.4196786880493,731.7142953872681,457.71429538726807,625
sub1,midTopLeft,50,13,397.71429443359375,248.5714569091797,395.4910898208618,253.00894260406497,731.7142953872681,457.71429538726807,638
sub1,midBottomRight,250,14,1072.0,663.4285888671875,1067.9375009536743,662.4196786880493,731.7142953872681,457.71429538726807,1217
sub1,midBottomRight,100,15,1069.71435546875,676.0,1067.9375009536743,662.4196786880493,731.7142953872681,457.71429538726807,950
sub1,cornerBottomLeft,200,16,34.85714340209961,896.571533203125,44.26785945892334,882.1250619888306,731.7142953872681,457.71429538726807,1337
sub1,midBottomLeft,150,17,385.1429138183594,670.857177734375,395.4910898208618,662.4196786880493,731.7142953872681,457.71429538726807,1046
sub1,cornerBottomLeft,0,18,58.85715103149414,875.4285888671875,44.26785945892334,882.1250619888306,731.7142953872681,457.71429538726807,1028
sub1,midBottomRight,50,19,1077.1429443359375,663.4285888671875,1067.9375009536743,662.4196786880493,731.7142953872681,457.71429538726807,985
sub1,midTopRight,250,20,1078.857177734375,256.57147216796875,1067.9375009536743,253.00894260406497,731.7142953872681,457.71429538726807,1179
sub1,cornerTopRight,100,21,1417.71435546875,37.14286422729492,1419.1607675552368,33.30357265472412,731.7142953872681,457.71429538726807,1090
sub1,cornerBottomLeft,200,22,32.571434020996094,893.1428833007812,44.26785945892334,882.1250619888306,731.7142953872681,457.71429538726807,1773
sub1,midTopRight,150,23,1080.5716552734375,249.14288330078125,1067.9375009536743,253.00894260406497,731.7142953872681,457.71429538726807,1024
sub1,midBottomLeft,0,24,393.71429443359375,664.0,395.4910898208618,662.4196786880493,731.7142953872681,457.71429538726807,950
sub1,midTopLeft,50,25,395.4285888671875,253.71429443359375,395.4910898208618,253.00894260406497,731.7142953872681,457.71429538726807,1029
sub1,cornerTopRight,250,26,1420.5716552734375,36.0,1419.1607675552368,33.30357265472412,731.7142953872681,457.71429538726807,1513
sub1,cornerBottomLeft,100,27,27.42857551574707,896.571533203125,44.26785945892334,882.1250619888306,731.7142953872681,457.71429538726807,1386
sub1,cornerBottomLeft,200,28,28.57143211364746,898.2858276367188,44.26785945892334,882.1250619888306,731.7142953872681,457.71429538726807,1635
sub1,cornerTopLeft,150,29,39.42857360839844,29.142860412597656,44.26785945892334,33.30357265472412,731.7142953872681,457.71429538726807,1634
sub1,cornerTopLeft,0,30,44.57143020629883,25.142860412597656,44.26785945892334,33.30357265472412,731.7142953872681,457.71429538726807,1091
sub1,midTopRight,50,31,1070.857177734375,248.5714569091797,1067.9375009536743,253.00894260406497,731.7142953872681,457.71429538726807,762
sub1,midTopLeft,250,32,400.5714416503906,257.71429443359375,395.4910898208618,253.00894260406497,731.7142953872681,457.71429538726807,982
sub1,cornerTopRight,100,33,1425.71435546875,32.0,1419.1607675552368,33.30357265472412,731.7142953872681,457.71429538726807,1307
sub1,cornerBottomRight,200,34,1418.2857666015625,882.2858276367188,1419.1607675552368,882.1250619888306,731.7142953872681,457.71429538726807,1651
sub1,cornerBottomRight,150,35,1422.857177734375,881.7144165039062,1419.1607675552368,882.1250619888306,731.7142953872681,457.71429538726807,1786
sub1,midBottomRight,0,36,1072.5716552734375,662.857177734375,1067.9375009536743,662.4196786880493,731.7142953872681,457.71429538726807,867
sub1,midBottomLeft,50,37,402.2857666015625,665.7142944335938,395.4910898208618,662.4196786880493,731.7142953872681,457.71429538726807,1039
sub1,cornerBottomLeft,250,38,48.57143020629883,878.2858276367188,44.26785945892334,882.1250619888306,731.7142953872681,457.71429538726807,1552
sub1,midTopRight,100,39,1070.857177734375,252.00003051757812,1067.9375009536743,253.00894260406497,731.7142953872681,457.71429538726807,997
sub1,midBottomLeft,200,40,392.00006103515625,669.1428833007812,395.4910898208618,662.4196786880493,731.7142953872681,457.71429538726807,1286
