Type,X,Y,Timestamp
start,728.571533203125,395.71429443359375,1732860256698
move,728.0001220703125,397.4285888671875,1732860256789
move,728.0001220703125,403.1429138183594,1732860256812
move,726.857177734375,411.71429443359375,1732860256828
move,724.571533203125,421.4285888671875,1732860256845
move,720.0001220703125,431.1429138183594,1732860256862
move,714.2858276367188,439.1429138183594,1732860256878
move,708.0001220703125,446.0000305175781,1732860256895
move,697.7142944335938,452.8572082519531,1732860256912
move,686.857177734375,458.0000305175781,1732860256928
move,676.0,459.71429443359375,1732860256945
move,664.571533203125,461.4285888671875,1732860256962
move,654.2858276367188,461.4285888671875,1732860256978
move,643.4285888671875,460.8572082519531,1732860256995
move,630.857177734375,458.5714721679687,1732860257012
move,616.0,454.5714721679687,1732860257028
move,600.571533203125,448.8572082519531,1732860257045
move,585.1428833007812,442.0000305175781,1732860257062
move,569.1429443359375,432.8572082519531,1732860257078
move,553.7142944335938,423.1429138183594,1732860257095
move,540.0,412.8572082519531,1732860257112
move,525.1429443359375,402.5714416503906,1732860257128
move,512.0,390.5714416503906,1732860257145
move,499.4285888671875,378.00006103515625,1732860257162
move,486.2857666015625,363.71429443359375,1732860257178
move,475.4285888671875,348.8572082519531,1732860257195
move,465.1429138183594,336.2857666015625,1732860257212
move,456.5714416503906,322.5714416503906,1732860257228
move,446.8572082519531,309.4285888671875,1732860257245
move,438.8572082519531,295.1429138183594,1732860257262
move,433.1429138183594,282.00006103515625,1732860257278
move,426.2857666015625,269.4285888671875,1732860257295
move,420.5714416503906,259.1429138183594,1732860257312
move,416.5714416503906,250.0000457763672,1732860257329
move,413.71429443359375,242.00001525878903,1732860257345
move,409.71429443359375,234.5714569091797,1732860257362
move,406.2857666015625,228.2857360839844,1732860257379
move,403.4285888671875,223.71429443359375,1732860257395
move,401.1429138183594,219.71429443359375,1732860257412
move,399.4285888671875,216.85714721679688,1732860257429
move,398.2857666015625,214.5714569091797,1732860257445
move,397.71429443359375,212.2857360839844,1732860257462
move,397.1429138183594,210.5714569091797,1732860257479
move,396.5714416503906,210.00001525878903,1732860257495
move,396.00006103515625,208.85714721679688,1732860257512
move,395.4285888671875,208.2857360839844,1732860257545
move,394.8571472167969,208.2857360839844,1732860257612
move,394.8571472167969,208.85714721679688,1732860257628
move,394.2857666015625,208.85714721679688,1732860257645
move,394.2857666015625,209.42860412597656,1732860257662
move,394.2857666015625,210.00001525878903,1732860257695
move,394.2857666015625,210.5714569091797,1732860257712
move,394.2857666015625,211.1428985595703,1732860257728
move,393.71429443359375,211.71429443359375,1732860257745
move,393.71429443359375,212.2857360839844,1732860257762
move,393.71429443359375,212.85714721679688,1732860257779
move,393.71429443359375,213.42860412597656,1732860257795
move,393.71429443359375,214.00001525878903,1732860257812
move,393.71429443359375,214.5714569091797,1732860257829
move,393.71429443359375,215.71429443359375,1732860257846
move,393.71429443359375,217.42860412597656,1732860257881
move,394.2857666015625,218.00001525878903,1732860257912
move,394.2857666015625,218.5714569091797,1732860257929
move,395.4285888671875,218.5714569091797,1732860257945
end,395.4285888671875,218.5714569091797,1732860257951
