Type,X,Y,Timestamp
start,718.2858276367188,390.00006103515625,1732858365355
move,720.0001220703125,387.71429443359375,1732858365387
move,720.571533203125,387.1429138183594,1732858365404
move,717.7142944335938,387.71429443359375,1732858365446
move,715.4285888671875,388.8572082519531,1732858365454
move,712.571533203125,389.4285888671875,1732858365471
move,701.1428833007812,389.4285888671875,1732858365487
move,672.571533203125,382.00006103515625,1732858365504
move,658.857177734375,376.8572082519531,1732858365521
move,631.4285888671875,363.1429138183594,1732858365538
move,603.4285888671875,346.5714416503906,1732858365554
move,567.4285888671875,328.2857666015625,1732858365571
move,534.857177734375,310.00006103515625,1732858365587
move,500.5714416503906,291.1429138183594,1732858365604
move,462.8572082519531,273.4285888671875,1732858365621
move,427.4285888671875,256.2857360839844,1732858365638
move,396.5714416503906,240.2857360839844,1732858365654
move,362.2857666015625,224.2857360839844,1732858365671
move,332.5714416503906,208.85714721679688,1732858365688
move,296.5714416503906,191.71429443359375,1732858365705
move,264.0,174.00001525878906,1732858365721
move,232.00003051757812,156.2857208251953,1732858365738
move,199.42857360839844,139.1428680419922,1732858365754
move,173.14288330078125,123.1428680419922,1732858365771
move,150.2857208251953,110.0000228881836,1732858365788
move,130.85714721679688,99.1428680419922,1732858365806
move,116.00001525878906,90.57144927978516,1732858365821
move,104.00001525878906,82.57144927978516,1732858365838
move,90.85714721679688,74.57144927978516,1732858365854
move,81.14286041259766,67.71429443359375,1732858365871
move,70.85714721679688,60.85715103149414,1732858365888
move,64.5714340209961,55.714298248291016,1732858365904
move,60.000003814697266,51.14286804199219,1732858365921
move,56.00000762939453,46.57144546508789,1732858365938
move,53.14286422729492,42.0,1732858365954
move,50.85715103149414,38.571441650390625,1732858365971
move,49.14286422729492,35.71429443359375,1732858365988
move,48.57143020629883,34.0,1732858366004
move,48.00000762939453,32.28572082519531,1732858366021
move,47.42857360839844,31.714296340942383,1732858366038
move,47.42857360839844,31.14286994934082,1732858366054
move,47.42857360839844,30.571443557739254,1732858366091
move,46.85714340209961,30.571443557739254,1732858366127
end,46.85714340209961,30.571443557739254,1732858366171
