subject,target_location,delay,trial,End_Center_X,End_Center_Y,Target_Center_X,Target_Center_Y,Initial_X,Initial_Y,Total_Time
sub1,cornerBottomLeft,0,0,32.09286012649536,825.25,43.78928747177124,802.2321786880493,731.7142953872681,457.71429538726807,1045
sub1,midTopRight,50,1,1069.1965738932292,234.22919718424475,1063.991130510966,231.80953566233316,731.7142953872681,457.71429538726807,782
sub1,midTopLeft,250,2,420.89886474609375,235.37206522623694,394.10418796539307,231.80953566233316,731.7142953872681,457.71429538726807,882
sub1,midBottomLeft,100,3,390.6131591796875,602.5327758789062,394.10418796539307,602.0952768325806,731.7142953872681,457.71429538726807,680
sub1,midTopRight,200,4,1076.0536295572917,226.80062357584632,1063.991130510966,231.80953566233316,731.7142953872681,457.71429538726807,957
sub1,midTopLeft,150,5,401.4702453613281,235.37206522623694,394.10418796539307,231.80953566233316,731.7142953872681,457.71429538726807,804
sub1,cornerBottomRight,0,6,1399.869150797526,806.3929443359375,1413.3155628840127,802.2321786880493,731.7142953872681,457.71429538726807,1003
sub1,cornerTopRight,50,7,1411.221689860026,32.654765129089355,1413.8108021418252,31.67262077331543,731.7142953872681,457.71429538726807,882
sub1,cornerTopRight,250,8,1416.3643900553384,29.79762363433838,1413.8108021418252,31.67262077331543,731.7142953872681,457.71429538726807,1623
sub1,midTopLeft,100,9,368.89886474609375,228.51488749186194,394.10418796539307,231.80953566233316,731.7142953872681,457.71429538726807,861
sub1,cornerTopLeft,200,10,33.60714340209961,30.940482139587402,44.16071605682373,31.67262077331543,731.7142953872681,457.71429538726807,1571
sub1,cornerBottomRight,150,11,1418.155039469401,814.3929443359375,1413.3155628840127,802.2321786880493,731.7142953872681,457.71429538726807,1304
sub1,midBottomLeft,0,12,399.1845397949219,597.389892578125,394.10418796539307,602.0952768325806,731.7142953872681,457.71429538726807,625
sub1,midTopLeft,50,13,396.327392578125,227.37204996744788,394.10418796539307,231.80953566233316,731.7142953872681,457.71429538726807,638
sub1,midBottomRight,250,14,1068.0536295572917,603.1041870117188,1063.991130510966,602.0952768325806,731.7142953872681,457.71429538726807,1217
sub1,midBottomRight,100,15,1065.7679850260417,615.6755981445312,1063.991130510966,602.0952768325806,731.7142953872681,457.71429538726807,950
sub1,cornerBottomLeft,200,16,34.37857141494751,816.6786499023438,43.78928747177124,802.2321786880493,731.7142953872681,457.71429538726807,1337
sub1,midBottomLeft,150,17,383.7560119628906,610.5327758789062,394.10418796539307,602.0952768325806,731.7142953872681,457.71429538726807,1046
sub1,cornerBottomLeft,0,18,58.37857904434204,795.5357055664062,43.78928747177124,802.2321786880493,731.7142953872681,457.71429538726807,1028
sub1,midBottomRight,50,19,1073.1965738932292,603.1041870117188,1063.991130510966,602.0952768325806,731.7142953872681,457.71429538726807,985
sub1,midTopRight,250,20,1074.9108072916667,235.37206522623694,1063.991130510966,231.80953566233316,731.7142953872681,457.71429538726807,1179
sub1,cornerTopRight,100,21,1412.3643900553384,35.51191234588623,1413.8108021418252,31.67262077331543,731.7142953872681,457.71429538726807,1090
sub1,cornerBottomLeft,200,22,32.09286203384399,813.25,43.78928747177124,802.2321786880493,731.7142953872681,457.71429538726807,1773
sub1,midTopRight,150,23,1076.6252848307292,227.94347635904944,1063.991130510966,231.80953566233316,731.7142953872681,457.71429538726807,1024
sub1,midBottomLeft,0,24,392.327392578125,603.6755981445312,394.10418796539307,602.0952768325806,731.7142953872681,457.71429538726807,950
sub1,midTopLeft,50,25,394.04168701171875,232.51488749186194,394.10418796539307,231.80953566233316,731.7142953872681,457.71429538726807,1029
