subject,0_corner,0_mid,50_corner,50_mid,100_corner,100_mid,150_corner,150_mid,200_corner,200_mid,250_corner,250_mid
sub1,1113.0,813.6,1213.0,869.3636363636364,1382.875,888.8,1500.4,1030.5,1651.5555555555557,1127.5,1584.8333333333333,1164.857142857143
sub2,813.6666666666666,615.0,909.1428571428571,789.0,1214.0,815.7777777777778,1035.4444444444443,733.75,1264.4,947.125,1416.875,918.6
sub3,1063.142857142857,1158.5,1177.0,976.1,1290.25,1147.1666666666667,1439.5555555555557,1236.4,1762.4,1047.25,1671.875,1407.8
sub4,1222.8333333333333,920.8571428571429,1235.8333333333333,765.2857142857143,1443.888888888889,890.75,1635.0,997.8,1999.0,900.75,1532.0,1289.25
sub5,1346.125,1248.2,1397.2857142857142,979.0,1542.0,1350.142857142857,1826.125,1447.8,1852.2857142857142,1386.857142857143,1612.5,1807.6
sub6,1141.8333333333333,825.75,1295.3333333333333,806.1428571428571,1696.5,1059.2222222222222,1634.4,1145.6666666666667,1308.25,1241.3333333333333,1902.7,1281.75
