participants,0_close,0_far,0_medium,50_close,50_far,50_medium,100_close,100_far,100_medium,150_close,150_far,150_medium,200_close,200_far,200_medium,250_close,250_far,250_medium
1,2957.3333333333335,3277.8333333333335,3351.0,2938.3333333333335,3318.6666666666665,2873.3333333333335,3452.0,3607.1666666666665,3182.0,3494.0,3364.3333333333335,3414.5,3784.3333333333335,3329.3333333333335,3408.1666666666665,4160.833333333333,3420.8333333333335,3164.6666666666665
2,2448.0,3444.6666666666665,2981.1666666666665,2879.1666666666665,2964.3333333333335,3025.0,3138.1666666666665,2919.3333333333335,3231.3333333333335,3127.3333333333335,3017.8333333333335,3352.1666666666665,2963.3333333333335,3023.1666666666665,3569.6666666666665,3641.5,3206.1666666666665,3587.3333333333335
3,2439.0,3575.6666666666665,3350.5,3415.5,3514.6666666666665,3696.8333333333335,3346.3333333333335,3919.8333333333335,3263.1666666666665,3921.8333333333335,4005.6666666666665,3588.8333333333335,3277.3333333333335,3782.3333333333335,3751.3333333333335,3350.1666666666665,4202.666666666667,4678.5
4,2781.6666666666665,3602.3333333333335,3454.0,3055.3333333333335,3690.0,3907.3333333333335,3431.5,3634.6666666666665,3902.1666666666665,3514.0,3756.8333333333335,3809.8333333333335,4180.333333333333,3823.0,3642.8333333333335,4189.333333333333,3829.8333333333335,4282.333333333333
5,3506.6666666666665,3456.3333333333335,3603.1666666666665,2505.3333333333335,3136.3333333333335,3532.1666666666665,3146.6666666666665,3245.0,3943.1666666666665,3583.5,3781.8333333333335,3638.0,3393.5,3663.5,3329.1666666666665,4628.166666666667,3399.1666666666665,4543.0
6,2987.1666666666665,3108.0,3349.8333333333335,3298.8333333333335,3346.6666666666665,3130.1666666666665,5541.5,3200.3333333333335,4182.166666666667,4507.333333333333,3696.1666666666665,4322.166666666667,3832.3333333333335,3383.8333333333335,3862.6666666666665,3893.3333333333335,3402.3333333333335,4363.333333333333
