participants,0_close,0_far,0_medium,50_close,50_far,50_medium,100_close,100_far,100_medium,150_close,150_far,150_medium,200_close,200_far,200_medium,250_close,250_far,250_medium
1,25.166666666666668,40.0,35.666666666666664,21.5,37.0,32.0,26.833333333333332,47.0,35.333333333333336,30.166666666666668,43.833333333333336,37.5,31.166666666666668,40.666666666666664,34.833333333333336,39.333333333333336,39.5,32.333333333333336
2,16.666666666666668,38.666666666666664,33.166666666666664,27.333333333333332,30.833333333333332,32.833333333333336,26.0,29.333333333333332,33.166666666666664,30.166666666666668,32.666666666666664,34.833333333333336,25.333333333333332,33.0,41.666666666666664,32.166666666666664,37.0,35.666666666666664
3,11.666666666666666,28.166666666666668,22.0,21.166666666666668,28.5,25.5,15.333333333333334,28.833333333333332,20.833333333333332,20.166666666666668,31.833333333333332,23.5,16.0,30.833333333333332,22.666666666666668,14.833333333333334,31.166666666666668,24.0
4,23.166666666666668,51.5,41.333333333333336,23.833333333333332,56.5,45.5,32.5,54.5,40.833333333333336,29.333333333333332,55.333333333333336,40.5,44.0,54.0,40.833333333333336,37.5,58.666666666666664,40.166666666666664
5,24.666666666666668,34.166666666666664,33.166666666666664,20.5,31.166666666666668,33.333333333333336,23.166666666666668,30.166666666666668,31.0,29.0,29.5,36.5,26.333333333333332,34.5,29.0,26.666666666666668,25.666666666666668,26.666666666666668
6,14.833333333333334,21.833333333333332,18.0,25.0,21.666666666666668,18.166666666666668,36.166666666666664,25.666666666666668,23.666666666666668,27.166666666666668,28.666666666666668,23.833333333333332,21.666666666666668,21.833333333333332,27.666666666666668,17.666666666666668,25.0,24.166666666666668
