trial,target,delay,time,scrollCount_totalScrollCount,scrollCount_upScrollCount,scrollCount_downScrollCount,scrollCount_reverseScrollCount,participants
24,DIV 7,100,3.349,22,0,22,0,6
25,DIV 7,250,3.436,20,0,20,0,6
26,DIV 7,0,2.993,18,0,18,0,6
27,DIV 7,200,3.607,19,0,19,0,6
28,DIV 1,50,3.472,17,17,0,0,6
29,DIV 6,150,3.851,24,7,17,7,6
30,DIV 7,100,3.676,24,0,24,0,6
31,DIV 6,250,5.123,32,10,22,10,6
32,DIV 1,0,4.033,14,14,0,0,6
33,DIV 7,200,4.981,21,0,21,0,6
34,DIV 1,50,3.197,22,22,0,0,6
35,DIV 5,150,5.217,39,19,20,19,6
36,DIV 1,100,2.982,20,20,0,0,6
37,DIV 3,250,4.361,11,11,0,0,6
38,DIV 3,0,1.996,10,10,0,0,6
39,DIV 1,200,2.741,21,21,0,0,6
40,DIV 2,50,3.133,18,18,0,0,6
41,DIV 3,150,6.457,37,21,16,16,6
42,DIV 5,100,3.639,22,10,12,10,6
43,DIV 2,250,2.962,14,14,0,0,6
44,DIV 6,0,2.8,13,0,13,0,6
45,DIV 1,200,2.927,18,18,0,0,6
46,DIV 5,50,4.071,19,6,13,6,6
47,DIV 7,150,3.681,30,0,30,0,6
48,DIV 2,100,2.941,17,17,0,0,6
49,DIV 2,250,6.079,45,33,12,12,6
50,DIV 7,0,2.617,18,0,18,0,6
51,DIV 2,200,3.07,12,12,0,0,6
52,DIV 1,50,2.831,25,25,0,0,6
53,DIV 3,150,3.402,17,11,6,6,6
54,DIV 6,100,4.17,35,11,24,11,6
55,DIV 7,250,2.983,25,0,25,0,6
56,DIV 6,0,4.108,27,5,22,5,6
57,DIV 2,200,3.743,32,26,6,6,6
58,DIV 5,50,3.071,21,11,10,11,6
59,DIV 1,150,3.271,26,26,0,0,6
60,DIV 1,100,2.956,31,31,0,0,6
61,DIV 7,250,4.12,28,0,28,0,6
62,DIV 7,0,3.214,29,0,29,0,6
63,DIV 6,200,5.218,32,4,28,4,6
64,DIV 6,50,2.735,22,0,22,0,6
65,DIV 1,150,3.479,44,44,0,0,6
66,DIV 5,100,4.135,35,15,20,15,6
67,DIV 1,250,3.871,26,26,0,0,6
68,DIV 5,0,2.993,15,6,9,6,6
69,DIV 1,200,3.193,30,30,0,0,6
70,DIV 3,50,3.844,32,21,11,11,6
71,DIV 7,150,4.118,25,0,25,0,6
72,DIV 3,100,6.948,57,27,30,30,6
73,DIV 6,250,4.274,16,0,16,0,6
74,DIV 3,0,3.506,15,10,5,5,6
75,DIV 3,200,5.038,27,23,4,4,6
76,DIV 7,50,3.262,21,0,21,0,6
77,DIV 5,150,3.57,20,8,12,8,6
78,DIV 6,100,3.57,21,0,21,0,6
79,DIV 2,250,3.144,19,18,1,1,6
80,DIV 2,0,3.304,18,18,0,0,6
81,DIV 5,200,3.511,13,7,6,7,6
82,DIV 2,50,2.896,16,16,0,0,6
83,DIV 6,150,5.442,25,7,18,7,6
84,DIV 3,100,6.544,61,37,24,24,6
85,DIV 6,250,4.598,19,4,15,4,6
86,DIV 5,0,4.773,29,14,15,14,6
87,DIV 6,200,3.365,18,0,18,0,6
88,DIV 6,50,3.282,16,0,16,0,6
89,DIV 2,150,3.941,19,19,0,0,6
90,DIV 7,100,2.927,16,0,16,0,6
91,DIV 3,250,3.257,9,9,0,0,6
92,DIV 2,0,2.664,18,18,0,0,6
93,DIV 6,200,3.649,32,8,24,8,6
94,DIV 3,50,2.207,11,11,0,0,6
95,DIV 2,150,6.264,29,24,5,5,6
96,DIV 3,100,3.216,10,10,0,0,6
97,DIV 3,250,3.73,9,9,0,0,6
98,DIV 3,0,2.768,9,9,0,0,6
99,DIV 3,200,2.538,8,8,0,0,6
100,DIV 6,50,3.296,19,5,14,5,6
101,DIV 1,150,3.439,18,18,0,0,6
102,DIV 5,100,8.767,32,14,18,14,6
103,DIV 5,250,3.404,14,6,8,6,6
104,DIV 2,0,3.241,15,15,0,0,6
105,DIV 3,200,3.419,14,14,0,0,6
106,DIV 7,50,3.928,20,0,20,0,6
107,DIV 2,150,2.975,20,20,0,0,6
108,DIV 6,100,6.209,23,5,18,5,6
