trial,target,delay,time,scrollCount_totalScrollCount,scrollCount_upScrollCount,scrollCount_downScrollCount,scrollCount_reverseScrollCount,participants
6,DIV 1,0,3.713,57,57,0,0,4
7,DIV 1,150,3.587,51,51,0,0,4
8,DIV 3,200,8.033,133,64,69,69,4
9,DIV 2,100,2.817,38,38,0,0,4
10,DIV 6,250,2.98,30,0,30,0,4
11,DIV 6,50,5.862,73,16,57,16,4
12,DIV 6,0,3.137,36,0,36,0,4
13,DIV 5,150,2.706,20,0,20,0,4
14,DIV 7,200,3.862,61,0,61,0,4
15,DIV 3,100,3.172,33,25,8,8,4
16,DIV 5,250,2.84,17,0,17,0,4
17,DIV 2,50,2.829,36,36,0,0,4
18,DIV 1,0,4.421,50,50,0,0,4
19,DIV 2,150,3.522,37,37,0,0,4
20,DIV 1,200,3.801,50,50,0,0,4
21,DIV 5,100,3.294,31,8,23,8,4
22,DIV 6,250,3.448,38,0,38,0,4
23,DIV 7,50,3.373,58,0,58,0,4
24,DIV 5,0,2.713,19,0,19,0,4
25,DIV 5,150,3.632,26,6,20,6,4
26,DIV 6,200,4.487,37,0,37,0,4
27,DIV 6,100,3.592,36,0,36,0,4
28,DIV 5,250,3.024,16,0,16,0,4
29,DIV 5,50,2.874,17,0,17,0,4
30,DIV 5,0,2.26,15,0,15,0,4
31,DIV 5,150,3.432,23,4,19,4,4
32,DIV 5,200,2.801,19,0,19,0,4
33,DIV 5,100,2.966,17,0,17,0,4
34,DIV 7,250,3.894,58,0,58,0,4
35,DIV 6,50,3.492,39,0,39,0,4
36,DIV 1,0,3.559,52,52,0,0,4
37,DIV 6,150,4.445,46,8,38,8,4
38,DIV 1,200,4.077,56,56,0,0,4
39,DIV 5,100,2.495,17,0,17,0,4
40,DIV 7,250,3.605,63,0,63,0,4
41,DIV 6,50,3.71,42,0,42,0,4
42,DIV 3,0,2.935,31,26,5,5,4
43,DIV 6,150,3.838,40,4,36,4,4
44,DIV 5,200,2.679,17,0,17,0,4
45,DIV 2,100,2.704,44,44,0,0,4
46,DIV 5,250,4.378,30,9,21,9,4
47,DIV 3,50,3.436,36,29,7,7,4
48,DIV 3,0,3.084,24,23,1,1,4
49,DIV 7,150,3.718,59,0,59,0,4
50,DIV 6,200,3.423,41,0,41,0,4
51,DIV 1,100,3.715,57,57,0,0,4
52,DIV 1,250,3.854,57,57,0,0,4
53,DIV 7,50,3.712,52,0,52,0,4
54,DIV 5,0,2.927,28,7,21,7,4
55,DIV 2,150,3.769,46,40,6,6,4
56,DIV 3,200,3.711,38,29,9,9,4
57,DIV 7,100,3.987,58,0,58,0,4
58,DIV 3,250,5.764,74,44,30,30,4
59,DIV 2,50,3.586,45,44,1,1,4
60,DIV 2,0,2.794,39,39,0,0,4
61,DIV 1,150,3.725,54,54,0,0,4
62,DIV 2,200,3.103,38,38,0,0,4
63,DIV 2,100,4.351,39,39,0,0,4
64,DIV 2,250,4.628,41,41,0,0,4
65,DIV 1,50,3.825,56,56,0,0,4
66,DIV 6,0,3.287,35,0,35,0,4
67,DIV 7,150,4.103,62,0,62,0,4
68,DIV 3,200,3.987,34,28,6,6,4
69,DIV 7,100,3.535,52,0,52,0,4
70,DIV 3,250,4.256,58,37,21,21,4
71,DIV 7,50,3.512,60,0,60,0,4
72,DIV 2,0,3.589,46,46,0,0,4
73,DIV 7,150,3.62,53,0,53,0,4
74,DIV 5,200,3.871,23,4,19,4,4
75,DIV 1,100,3.609,53,53,0,0,4
76,DIV 3,250,4.874,30,27,3,3,4
77,DIV 3,50,3.15,23,23,0,0,4
78,DIV 3,0,2.771,22,22,0,0,4
79,DIV 2,150,3.76,41,37,4,4,4
80,DIV 7,200,3.81,53,0,53,0,4
81,DIV 7,100,3.386,55,0,55,0,4
82,DIV 2,250,3.242,35,35,0,0,4
83,DIV 3,50,3.254,30,24,6,6,4
84,DIV 7,0,3.088,45,0,45,0,4
85,DIV 3,150,3.555,29,27,2,2,4
86,DIV 7,200,3.552,51,0,51,0,4
87,DIV 1,100,3.576,52,52,0,0,4
88,DIV 7,250,3.704,58,0,58,0,4
89,DIV 1,50,3.73,54,54,0,0,4
90,DIV 6,0,4.233,52,8,44,8,4
91,DIV 3,150,3.583,33,29,4,4,4
92,DIV 6,200,4.038,41,0,41,0,4
93,DIV 6,100,3.979,43,3,40,3,4
94,DIV 1,250,3.814,53,53,0,0,4
95,DIV 1,50,3.988,59,59,0,0,4
96,DIV 7,0,3.529,60,0,60,0,4
97,DIV 1,150,3.788,53,53,0,0,4
98,DIV 2,200,3.331,42,42,0,0,4
99,DIV 6,100,5.97,45,3,42,3,4
100,DIV 2,250,3.646,43,43,0,0,4
101,DIV 5,50,3.149,17,0,17,0,4
102,DIV 7,0,3.304,45,0,45,0,4
103,DIV 3,150,4.176,45,33,12,12,4
104,DIV 2,200,3.475,46,46,0,0,4
105,DIV 3,100,3.655,22,22,0,0,4
106,DIV 1,250,4.108,63,63,0,0,4
107,DIV 5,50,2.469,20,0,20,0,4
108,DIV 2,0,3.684,40,40,0,0,4
1,DIV 2,50,3.328,33,26,7,7,2
2,DIV 1,100,2.483,27,27,0,0,2
3,DIV 3,0,2.154,13,13,0,0,2
4,DIV 1,150,2.46,21,21,0,0,2
5,DIV 3,250,3.58,40,25,15,15,2
6,DIV 2,200,3.238,34,34,0,0,2
7,DIV 2,50,2.287,26,26,0,0,2
8,DIV 6,100,2.969,22,9,13,9,2
9,DIV 5,0,2.143,12,0,12,0,2
10,DIV 3,150,3.187,33,22,11,11,2
11,DIV 6,250,5.629,52,23,29,23,2
12,DIV 3,200,3.25,32,27,5,5,2
13,DIV 5,50,3.474,25,7,18,7,2
14,DIV 7,100,2.77,16,0,16,0,2
