Type,X,Y,Timestamp
start,742.2858276367188,464.00006103515625,1733030978994
move,742.857177734375,463.4285888671875,1733030979018
move,743.4285888671875,462.2857666015625,1733030979033
move,747.4285888671875,460.00006103515625,1733030979049
move,753.1428833007812,455.4285888671875,1733030979066
move,764.0001220703125,449.1429138183594,1733030979083
move,773.7142944335938,442.8572082519531,1733030979099
move,784.0001220703125,438.2857666015625,1733030979116
move,791.4285888671875,434.8571472167969,1733030979133
move,800.571533203125,431.4285888671875,1733030979149
move,809.1428833007812,428.5714416503906,1733030979166
move,818.2858276367188,425.1429138183594,1733030979183
move,828.571533203125,421.71429443359375,1733030979199
move,837.7142944335938,418.2857666015625,1733030979216
move,847.4285888671875,414.2857666015625,1733030979233
move,856.571533203125,410.8571472167969,1733030979249
move,867.4285888671875,407.4285888671875,1733030979266
move,877.1428833007812,403.4285888671875,1733030979282
move,887.4285888671875,398.8571472167969,1733030979300
move,894.857177734375,395.4285888671875,1733030979316
move,901.1428833007812,393.1429138183594,1733030979333
move,905.7144165039062,391.4285888671875,1733030979349
move,908.571533203125,390.2857666015625,1733030979366
move,909.7144165039062,389.71429443359375,1733030979382
move,910.857177734375,389.71429443359375,1733030979399
move,911.4285888671875,389.71429443359375,1733030979433
move,911.4285888671875,389.1429138183594,1733030979499
move,912.0001220703125,388.5714416503906,1733030979516
move,912.571533203125,387.4285888671875,1733030979532
move,917.1428833007812,382.2857666015625,1733030979549
move,919.4285888671875,380.00006103515625,1733030979566
move,926.857177734375,374.2857666015625,1733030979583
move,934.857177734375,367.4285888671875,1733030979599
move,945.1428833007812,358.8571472167969,1733030979616
move,965.1428833007812,342.2857666015625,1733030979637
move,972.0001220703125,337.1429138183594,1733030979649
move,984.571533203125,327.4285888671875,1733030979666
move,996.571533203125,319.4285888671875,1733030979683
move,1006.857177734375,312.5714416503906,1733030979700
move,1020.571533203125,304.5714416503906,1733030979716
move,1024.5716552734375,301.71429443359375,1733030979732
move,1038.285888671875,293.71429443359375,1733030979749
move,1045.71435546875,289.1429138183594,1733030979766
move,1052.5716552734375,285.1429138183594,1733030979782
move,1057.71435546875,282.2857360839844,1733030979799
move,1061.1429443359375,279.4285888671875,1733030979816
move,1063.4285888671875,277.71429443359375,1733030979832
move,1066.285888671875,275.4285888671875,1733030979849
move,1066.857177734375,274.8571472167969,1733030979866
move,1069.1429443359375,273.1429138183594,1733030979882
move,1071.4285888671875,271.4285888671875,1733030979899
move,1073.71435546875,269.71429443359375,1733030979916
move,1075.4285888671875,268,1733030979932
move,1077.1429443359375,266.2857360839844,1733030979949
move,1078.857177734375,264.57147216796875,1733030979966
move,1080,262.8571472167969,1733030979982
move,1081.71435546875,261.1429138183594,1733030979999
move,1082.857177734375,259.4285888671875,1733030980016
move,1084,257.71429443359375,1733030980032
move,1085.1429443359375,256,1733030980049
move,1085.71435546875,254.85714721679688,1733030980066
move,1085.71435546875,253.71429443359375,1733030980082
move,1086.285888671875,252.5714569091797,1733030980099
move,1086.857177734375,251.42860412597656,1733030980116
move,1087.4285888671875,250.2857208251953,1733030980132
move,1087.4285888671875,249.71429443359375,1733030980149
move,1088,249.71429443359375,1733030980166
move,1088,249.14288330078125,1733030980189
move,1088.5716552734375,248.5714569091797,1733030980199
move,1088.5716552734375,248.00003051757812,1733030980250
move,1088.5716552734375,247.42860412597656,1733030980300
move,1088,247.42860412597656,1733030980366
move,1088,246.85714721679688,1733030980399
move,1087.4285888671875,246.85714721679688,1733030980416
move,1086.857177734375,246.85714721679688,1733030980434
move,1086.285888671875,246.2857208251953,1733030980456
move,1085.71435546875,246.2857208251953,1733030980475
move,1085.1429443359375,246.2857208251953,1733030980516
move,1084.5716552734375,246.2857208251953,1733030980533
move,1082.857177734375,247.42860412597656,1733030980582
move,1082.285888671875,247.42860412597656,1733030980599
move,1081.71435546875,248.00003051757812,1733030980616
move,1080.5716552734375,248.5714569091797,1733030980633
move,1080,249.14288330078125,1733030980649
move,1079.4285888671875,249.71429443359375,1733030980666
move,1078.285888671875,250.2857208251953,1733030980683
move,1077.1429443359375,250.85714721679688,1733030980700
move,1076.5716552734375,250.85714721679688,1733030980716
move,1076,250.85714721679688,1733030980733
move,1075.4285888671875,250.85714721679688,1733030980750
move,1074.857177734375,250.85714721679688,1733030980766
move,1074.285888671875,250.85714721679688,1733030980783
move,1073.71435546875,250.85714721679688,1733030980816
move,1073.1429443359375,250.85714721679688,1733030980833
move,1072.5716552734375,250.85714721679688,1733030980850
move,1072,250.85714721679688,1733030980866
move,1070.857177734375,250.85714721679688,1733030980883
move,1070.285888671875,250.85714721679688,1733030980900
move,1069.71435546875,250.85714721679688,1733030980933
end,1069.71435546875,250.85714721679688,1733030980940

End_Center_X,End_Center_Y,Target_Center_X,Target_Center_Y,Initial_X,Initial_Y,Total_Time
1069.71435546875,250.85714721679688,1067.9375009536743,253.00894260406494,731.7142953872681,457.71429538726807,2150
