Type,X,Y,Timestamp
start,729.1428833007812,398.5714416503906,1732860655872
move,729.1428833007812,397.4285888671875,1732860655896
move,728.571533203125,396.2857666015625,1732860655913
move,728.571533203125,395.71429443359375,1732860655930
move,728.0001220703125,395.1429138183594,1732860655946
move,727.4285888671875,395.1429138183594,1732860655963
move,724.571533203125,395.71429443359375,1732860655980
move,717.1428833007812,397.4285888671875,1732860655996
move,707.4285888671875,401.4285888671875,1732860656013
move,694.2858276367188,406.00006103515625,1732860656030
move,680.571533203125,411.1429138183594,1732860656046
move,665.1428833007812,418.00006103515625,1732860656063
move,649.1428833007812,424.8572082519531,1732860656080
move,632.571533203125,431.1429138183594,1732860656097
move,613.7142944335938,439.71429443359375,1732860656113
move,593.7142944335938,450.57147216796875,1732860656130
move,574.857177734375,462.0000305175781,1732860656147
move,558.2858276367188,472.2857971191406,1732860656163
move,541.7142944335938,482.0000305175781,1732860656180
move,525.1429443359375,491.1429138183594,1732860656197
move,511.4285888671875,499.1429138183594,1732860656213
move,498.8572082519531,507.1429138183594,1732860656230
move,485.1429138183594,514,1732860656247
move,474.2857666015625,521.4285888671875,1732860656263
move,463.4285888671875,528.2858276367188,1732860656280
move,454.2857666015625,533.4285888671875,1732860656296
move,445.71429443359375,538,1732860656313
move,438.8572082519531,543.1429443359375,1732860656330
move,433.71429443359375,547.7142944335938,1732860656347
move,428.5714416503906,551.7142944335938,1732860656364
move,424.5714416503906,555.1429443359375,1732860656380
move,421.1429138183594,558,1732860656397
move,418.8571472167969,560.857177734375,1732860656413
move,416.00006103515625,563.7142944335938,1732860656430
move,413.1429138183594,566.5714721679688,1732860656447
move,410.8571472167969,568.857177734375,1732860656463
move,408.00006103515625,570.5714721679688,1732860656480
move,405.71429443359375,572.2858276367188,1732860656497
move,403.4285888671875,573.4285888671875,1732860656513
move,401.71429443359375,574,1732860656530
move,400.00006103515625,574.5714721679688,1732860656547
move,398.8571472167969,575.1429443359375,1732860656563
move,397.71429443359375,575.1429443359375,1732860656580
move,397.1429138183594,575.1429443359375,1732860656597
move,396.5714416503906,575.1429443359375,1732860656613
move,396.00006103515625,575.7142944335938,1732860656630
move,395.4285888671875,575.7142944335938,1732860656647
move,394.8571472167969,575.7142944335938,1732860656663
move,394.2857666015625,575.7142944335938,1732860656680
end,394.2857666015625,575.7142944335938,1732860656706

End_Center_X,End_Center_Y,Target_Center_X,Target_Center_Y,Initial_X,Initial_Y,Total_Time
394.2857666015625,575.7142944335938,393.4107370376587,574.8928842544556,727.7142953872681,398.57144260406494,991
