Type,X,Y,Timestamp
start,732.571533203125,402.5714416503906,1732860631900
move,734.857177734375,403.1429138183594,1732860631958
move,741.1428833007812,406.5714416503906,1732860631977
move,753.1428833007812,412.8572082519531,1732860631994
move,767.4285888671875,421.4285888671875,1732860632011
move,784.571533203125,429.4285888671875,1732860632027
move,804.571533203125,438.0000305175781,1732860632044
move,826.857177734375,447.71429443359375,1732860632061
move,850.2858276367188,458.57147216796875,1732860632078
move,873.1428833007812,470.0000305175781,1732860632094
move,896.0001220703125,482.0000305175781,1732860632111
move,919.4285888671875,493.4285888671875,1732860632127
move,941.7144165039062,504.2857971191406,1732860632144
move,961.1428833007812,514,1732860632161
move,977.7144165039062,522.5714721679688,1732860632177
move,992.0001220703125,528.2858276367188,1732860632194
move,1002.2858276367188,532.2858276367188,1732860632211
move,1012.0001220703125,536.2858276367188,1732860632227
move,1018.857177734375,540.857177734375,1732860632244
move,1027.4285888671875,546,1732860632261
move,1034.285888671875,550.5714721679688,1732860632277
move,1036.5716552734375,552.2858276367188,1732860632294
move,1042.285888671875,556.857177734375,1732860632311
move,1044.5716552734375,558,1732860632328
move,1050.285888671875,563.1429443359375,1732860632345
move,1052,564.2858276367188,1732860632361
move,1055.4285888671875,567.1429443359375,1732860632378
move,1056,567.7142944335938,1732860632394
move,1056.5716552734375,568.2858276367188,1732860632411
move,1057.1429443359375,568.857177734375,1732860632427
move,1057.71435546875,568.857177734375,1732860632461
end,1057.71435546875,568.857177734375,1732860632485

End_Center_X,End_Center_Y,Target_Center_X,Target_Center_Y,Initial_X,Initial_Y,Total_Time
1057.71435546875,568.857177734375,1062.0179452896118,574.8928842544556,727.7142953872681,398.57144260406494,585
